employee_id,team,role,experience_years,week,year,assigned_tasks,completed_tasks,story_points_completed,actual_work_hours,project_complexity,management_quality,KPI-1_Gorev_Tamamlama_Orani_GTO,KPI-2_Zamaninda_Teslim_Orani_ZTO,KPI-3_Goreli_Katki_Endeksi_GKE,KPI-4_Kod_Katki_Kalite_Endeksi_KKKE,KKKE_AltMetrik_ECO_Etkili_Commit_Orani,KKKE_AltMetrik_HDS_Haftalik_Dagilim_Skoru,KKKE_AltMetrik_CTO_Commit_Task_Dengesi,KKKE_AltMetrik_OCH_Ortalama_Commit_Hacmi,KPI-5_Bug_Yogunlugu_BY,KPI-6_Kritik_Bug_Orani_KBO,KPI-7_Code_Review_Kabul_Orani_CRKO,KPI-8_Ortalama_PR_Duzeltme_Sayisi_OPDS,KPI-9_Is_Yuku_Endeksi_IYE,KPI-10_Surekli_Asiri_Yuk_Skoru_SAYS,KPI-11_Toplanti_Yuku_Orani_TYO,KPI-12_Ekip_Katki_Skoru_EKS,KPI-13_360_Geri_Bildirim_Skoru_360GBS,KPI-14_Organizasyonel_Merkezilik_Skoru_OMS,KPI-15_Motivasyon_Skoru_MS,KPI-16_Motivasyon_Trend_Egimi_MTE,KPI-17_Gelisim_Katilim_Skoru_GKS,KPI-18_Genel_Performans_Skoru_GPS,KPI-19_Ayrilma_Riski_Skoru_ARS,KPI-20_Potansiyel_Performans_Endeksi_PPE,performance_band,attrition_risk_band
1,Backend,Mid,5.8,14,2025,7,5,16.8,37.1,0.6129,0.8053,0.7035,0.6044,0.8134,0.7198,0.8621,0.2,5.0,203.9091,0.4442,0.2944,0.5285,3,1.0442300000000002,1.0,0.3043,69.8991,77.86,0.5521,78.2563,3.8119,0.744,68.0935,0.2697,75.2955,Stabil,Dusuk
1,Backend,Mid,5.8,15,2025,8,7,27.2,41.4,0.4561,0.8369,0.8959,0.7091,1.3823,0.6784,0.6304,0.4,4.1429,127.9704,0.4995,0.2302,0.4759,4,1.03224,1.0,0.2493,72.7842,81.8684,0.5763,73.1062,1.4346,0.697,73.5067,0.2087,70.6685,Stabil,Dusuk
1,Backend,Mid,5.8,16,2025,10,7,35.8,40.4,0.6891,0.793,0.7443,0.6876,1.3934,0.7756,0.8947,0.2,4.8571,165.2914,0.5413,0.2498,0.5984,2,1.12508,1.0,0.2756,61.0774,81.0025,0.6078,77.6538,1.7626,0.7592,72.3119,0.1839,73.7176,Stabil,Dusuk
1,Backend,Mid,5.8,17,2025,3,3,14.0,39.4,0.4852,0.8005,0.8714,0.8253,0.6424,0.8005,0.85,0.6,5.6667,124.7848,0.4668,0.2902,0.5425,3,1.06557,1.0,0.1813,72.2887,76.6596,0.5458,70.9393,-1.7403,0.6495,72.4076,0.2836,62.0039,Stabil,Dusuk
1,Backend,Mid,5.8,18,2025,3,3,10.1,45.5,0.3878,0.7956,0.8464,0.7491,0.4766,0.6508,0.6875,0.4,3.6667,189.8723,0.4251,0.3164,0.4717,4,1.1419100000000002,0.0,0.183,72.7306,79.6396,0.656,79.4148,1.2211,0.6079,70.9108,0.2175,65.6537,Stabil,Dusuk
1,Backend,Mid,5.8,19,2025,9,8,32.6,38.0,0.4627,0.8138,0.8392,0.7973,1.5825,0.7338,0.9487,0.2,4.625,97.8928,0.5295,0.2895,0.4845,4,1.03686,0.0,0.2772,63.2916,81.2549,0.6087,69.8054,-1.507,0.7296,73.4643,0.223,67.3555,Stabil,Dusuk
1,Backend,Mid,5.8,20,2025,7,6,27.6,36.2,0.4945,0.8091,0.7862,0.7058,1.3837,0.8718,0.95,1.0,3.1667,135.7084,0.4337,0.316,0.4323,5,1.0164000000000002,0.0,0.2533,82.3949,74.0004,0.4987,78.001,1.1575,0.6583,74.1397,0.2222,66.1319,Stabil,Dusuk
1,Backend,Mid,5.8,21,2025,11,10,26.1,40.1,0.4295,0.8008,0.8694,0.7955,1.2365,0.76,0.6471,1.0,3.3,173.5907,0.4328,0.2228,0.6565,3,1.0378500000000002,0.0,0.2541,85.6413,73.6855,0.6813,67.8095,-2.662,0.6906,76.3599,0.2994,61.521,Stabil,Dusuk
1,Backend,Mid,5.8,22,2025,6,4,14.3,42.5,0.6201,0.8336,0.7177,0.6689,0.6682,0.8899,0.88,1.0,5.5,117.6483,0.5647,0.367,0.4699,5,1.16534,0.0,0.189,82.0822,82.0711,0.5929,62.028,-3.3524,0.7244,69.0891,0.3623,64.4791,Stabil,Orta
1,Backend,Mid,5.8,23,2025,12,10,50.9,40.1,0.6948,0.7996,0.8126,0.7204,2.2692,0.7545,0.8718,0.4,3.4,149.5067,0.5301,0.3292,0.5165,3,1.1011,0.0,0.2164,72.52,79.5852,0.4435,73.4761,-1.9356,0.5903,73.1728,0.198,59.9135,Stabil,Dusuk
1,Backend,Mid,5.8,24,2025,10,9,36.7,46.5,0.6012,0.7893,0.8548,0.7468,1.4475,0.8901,0.9512,1.0,4.3333,105.3464,0.5826,0.3448,0.5121,3,1.23673,0.0,0.3189,80.8613,79.453,0.4976,72.9389,2.6836,0.698,74.3011,0.2785,71.9385,Stabil,Dusuk
1,Backend,Mid,5.8,25,2025,8,7,23.8,31.3,0.4611,0.8196,0.8176,0.7475,1.4102,0.6513,0.8667,0.4,1.8571,168.6805,0.3516,0.2135,0.5015,3,0.88649,0.0,0.2739,70.8926,79.9478,0.5838,76.3267,4.2359,0.6841,73.1004,0.2581,73.8866,Stabil,Dusuk
1,Backend,Mid,5.8,26,2025,10,8,18.1,40.8,0.6187,0.855,0.8263,0.7766,0.8297,0.652,0.7037,0.8,2.375,204.7627,0.6994,0.3674,0.5336,3,1.1495,0.0,0.2436,85.8874,83.3312,0.5161,75.7346,1.0163,0.7742,71.3963,0.1957,73.9267,Stabil,Dusuk
1,Backend,Mid,5.8,27,2025,11,8,30.1,43.4,0.4897,0.8253,0.7316,0.6166,1.426,0.8566,0.8444,0.8,4.75,177.3188,0.4522,0.1984,0.5276,3,1.1545600000000005,0.0,0.2334,80.4783,76.7302,0.6913,79.3251,1.8567,0.6409,74.6478,0.1988,67.2618,Stabil,Dusuk
1,Backend,Mid,5.8,28,2025,6,4,15.8,33.8,0.5883,0.8294,0.7026,0.5476,0.8064,0.7945,0.6364,1.0,3.5,152.4142,0.472,0.2598,0.4579,4,0.98065,0.0,0.2884,89.7776,73.5923,0.5958,75.9078,0.2334,0.6465,68.8216,0.2699,64.0337,Stabil,Dusuk
1,Backend,Mid,5.8,29,2025,5,4,16.6,33.9,0.5272,0.8312,0.735,0.7086,0.8677,0.6877,0.8571,1.0,1.5,215.4706,0.5055,0.2705,0.4968,4,0.92554,0.0,0.2406,87.2137,75.3835,0.6422,74.4548,-0.7257,0.6404,69.9366,0.1761,62.7974,Stabil,Dusuk
1,Backend,Mid,5.8,30,2025,10,8,25.5,37.2,0.7457,0.8007,0.7875,0.7084,1.432,0.6841,0.7647,0.6,3.25,199.5456,0.5522,0.3,0.5162,5,1.0324600000000002,0.0,0.3003,74.4735,76.5671,0.611,72.028,-2.3344,0.8147,72.186,0.3278,68.4843,Stabil,Orta
1,Backend,Mid,5.8,31,2025,6,5,19.7,33.7,0.4955,0.8195,0.844,0.8098,0.9094,0.7858,0.8065,0.4,5.0,169.8649,0.5528,0.34,0.5099,2,0.86658,0.0,0.148,69.3499,74.2699,0.6815,64.2837,-3.7299,0.7593,70.7566,0.3713,63.1227,Stabil,Orta
1,Backend,Mid,5.8,32,2025,9,7,26.3,31.2,0.4338,0.8226,0.7553,0.6921,1.4561,0.7991,0.92,0.8,3.2857,185.4223,0.4024,0.3257,0.5989,2,0.8435900000000001,0.0,0.2039,82.6458,81.726,0.5915,64.0063,-3.909,0.7046,72.7295,0.3638,62.6172,Stabil,Orta
1,Backend,Mid,5.8,33,2025,9,7,29.7,40.9,0.5553,0.8163,0.794,0.8213,1.1581,0.7099,0.65,0.6,3.7143,132.491,0.4878,0.2541,0.4587,4,1.1477400000000002,0.0,0.3726,75.551,81.8042,0.6624,67.0129,-1.5323,0.7556,72.5712,0.1991,68.6494,Stabil,Dusuk
1,Backend,Mid,5.8,34,2025,8,7,30.5,37.5,0.8041,0.7907,0.869,0.7627,1.4186,0.836,0.7667,1.0,6.5714,147.2141,0.4965,0.3217,0.5465,3,0.95216,0.0,0.2817,87.8987,80.4391,0.5206,67.7638,1.3447,0.6483,75.0426,0.205,67.9072,Stabil,Dusuk
1,Backend,Mid,5.8,35,2025,14,13,28.9,37.0,0.4655,0.814,0.9179,0.797,1.4573,0.7011,0.7407,1.0,3.0769,234.0317,0.5037,0.282,0.514,2,1.05303,0.0,0.2825,83.7803,73.6507,0.5819,64.0234,0.0802,0.7195,75.0199,0.1763,67.1,Stabil,Dusuk
1,Backend,Mid,5.8,36,2025,6,4,21.2,44.8,0.7136,0.8182,0.7397,0.57,0.8694,0.6519,0.7,1.0,1.75,210.4126,0.5093,0.3001,0.5358,4,1.31241,0.0,0.2839,82.1353,76.7097,0.7029,61.8787,-1.9143,0.6778,66.3464,0.3934,63.0225,Stabil,Orta
1,Backend,Mid,5.8,37,2025,3,3,8.6,37.9,0.6554,0.8391,0.8432,0.7173,0.4603,0.8178,0.8095,0.6,5.6667,148.3859,0.453,0.2744,0.3868,5,1.0582,0.0,0.2295,75.1999,81.1945,0.4772,69.2952,0.245,0.6678,69.9907,0.2633,67.2926,Stabil,Dusuk
1,Backend,Mid,5.8,38,2025,8,6,14.2,44.5,0.6748,0.8049,0.7588,0.6868,0.556,0.6856,0.6333,0.8,3.1667,190.7756,0.5884,0.381,0.4919,3,1.2436600000000002,0.0,0.2807,75.9055,79.4345,0.5437,77.8132,4.8786,0.7989,67.523,0.3235,79.9022,Stabil,Orta
1,Backend,Mid,5.8,39,2025,11,9,28.1,34.4,0.6229,0.8528,0.8353,0.8052,1.2209,0.8323,0.7719,0.8,4.8889,181.7358,0.4866,0.2372,0.4652,5,0.93423,0.0,0.2099,84.3451,82.7395,0.6275,69.2061,3.05,0.7882,75.5028,0.2168,77.5581,Stabil,Dusuk
1,Backend,Mid,5.8,40,2025,6,5,17.3,38.5,0.4524,0.8503,0.8501,0.7958,0.7588,0.8807,0.8333,1.0,6.0,158.1876,0.4117,0.2644,0.541,3,1.02938,0.0,0.2933,83.298,80.7783,0.7093,71.9762,-0.0564,0.6907,75.1855,0.204,67.7281,Stabil,Dusuk
1,Backend,Mid,5.8,41,2025,3,2,8.7,40.2,0.5813,0.785,0.8219,0.7994,0.3435,0.7578,0.7778,1.0,3.5,82.9227,0.5735,0.2976,0.3679,6,1.1258500000000002,0.0,0.3268,85.3239,78.1482,0.621,72.0922,-1.4393,0.8896,70.6161,0.2172,73.7282,Stabil,Dusuk
1,Backend,Mid,5.8,42,2025,8,6,16.9,40.0,0.695,0.8456,0.7985,0.6914,0.7725,0.7867,0.766,0.6,6.0,151.0042,0.5005,0.3469,0.4849,6,1.1233200000000003,0.0,0.2867,72.5812,77.0649,0.6175,73.0294,1.1586,0.5843,69.8925,0.1665,63.7252,Stabil,Dusuk
1,Backend,Mid,5.8,43,2025,7,5,19.7,37.5,0.5888,0.8163,0.7576,0.5505,0.86,0.7016,1.0,0.2,3.2,113.7332,0.4475,0.2867,0.4942,3,1.00914,0.0,0.1443,67.7445,77.5006,0.5324,74.7904,0.938,0.6858,68.2525,0.2357,68.0788,Stabil,Dusuk
1,Backend,Mid,5.8,44,2025,7,6,22.5,32.6,0.5483,0.8225,0.8285,0.7876,0.9949,0.7061,0.6774,0.6,3.5,169.5181,0.4295,0.2641,0.5338,4,0.93973,0.0,0.1342,70.9519,80.175,0.5401,77.1457,1.6921,0.7376,73.2055,0.1665,72.3907,Stabil,Dusuk
1,Backend,Mid,5.8,45,2025,6,5,13.6,35.9,0.4213,0.747,0.8581,0.8854,0.5572,0.7313,0.8,0.8,2.4,171.4999,0.4543,0.2559,0.5393,3,1.08372,0.0,0.2942,78.7418,73.0178,0.6768,71.439,-0.2416,0.807,73.5795,0.157,70.3419,Stabil,Dusuk
1,Backend,Mid,5.8,46,2025,11,10,26.9,36.7,0.6107,0.8527,0.8801,0.8538,1.3337,0.6328,0.6792,0.4,3.6,198.7044,0.5249,0.3138,0.4841,4,1.001,0.0,0.1302,70.0567,83.3907,0.6982,73.4992,-0.958,0.841,75.4511,0.259,73.8639,Stabil,Dusuk
1,Backend,Mid,5.8,47,2025,12,9,36.2,40.6,0.4073,0.8136,0.7907,0.7575,1.8462,0.8341,0.6792,1.0,4.0,147.2507,0.5159,0.2819,0.5039,4,1.04258,0.0,0.224,83.3478,79.8261,0.5431,72.8762,-1.0748,0.6935,75.4734,0.1931,65.9745,Stabil,Dusuk
1,Backend,Mid,5.8,48,2025,16,12,41.7,50.3,0.7129,0.8073,0.7414,0.6665,1.7063,0.6214,0.7353,0.6,2.0833,104.9432,0.6328,0.3343,0.4073,5,1.34123,1.0,0.3626,71.0956,79.9045,0.5334,57.657,-4.1969,0.7028,65.1628,0.5108,61.5394,Stabil,Orta
1,Backend,Mid,5.8,49,2025,6,5,17.8,33.3,0.3238,0.8126,0.8523,0.8395,0.9215,0.6706,0.6429,0.6,7.2,160.8171,0.4764,0.2831,0.3211,6,0.8729600000000001,1.0,0.2868,74.4222,80.6863,0.5512,67.8746,-3.2093,0.7905,69.8181,0.3405,67.2636,Stabil,Orta
1,Backend,Mid,5.8,50,2025,10,8,28.0,37.0,0.5776,0.8726,0.8413,0.7129,1.0151,0.687,1.0,0.4,1.625,168.1985,0.4094,0.2873,0.4294,4,0.94413,1.0,0.3133,66.332,73.9246,0.5815,65.921,-1.0648,0.6571,68.3813,0.2936,62.5838,Stabil,Dusuk
1,Backend,Mid,5.8,51,2025,8,6,20.0,31.6,0.6483,0.8535,0.8119,0.6879,0.8895,0.8754,0.875,1.0,3.5,145.6272,0.5073,0.3657,0.4332,5,0.8748300000000001,1.0,0.2469,85.457,77.2518,0.535,69.5315,3.367,0.7047,70.0835,0.1802,72.6493,Stabil,Dusuk
1,Backend,Mid,5.8,52,2025,7,6,28.2,37.4,0.4915,0.8167,0.8409,0.7215,1.2452,0.5474,0.625,0.6,2.5,237.2558,0.3746,0.2644,0.5723,4,1.05435,1.0,0.2265,78.6148,79.9343,0.7535,70.6337,1.1888,0.6633,73.2726,0.27,68.1865,Stabil,Dusuk
4,DevOps,Mid,4.1,1,2025,4,3,12.5,39.0,0.4033,0.7105,0.71,0.6553,0.6036,0.7878,0.9286,0.6,4.3333,94.6118,0.47142,0.3496,0.40095,3,0.9706,0.0,0.1347,54.6978,53.835,0.7146,72.0444,0.0,0.7308,64.9067,0.3232,61.5351,Riskli,Orta
4,DevOps,Mid,4.1,2,2025,7,5,14.4,34.8,0.5772,0.6803,0.7274,0.6071,0.8893,0.5971,0.8235,0.6,2.8,36.6824,0.51966,0.2895,0.4829,4,0.8625,0.0,0.2995,58.5871,55.4022,0.6506,76.4543,4.4099,0.6587,63.0946,0.2696,65.6524,Riskli,Dusuk
4,DevOps,Mid,4.1,3,2025,11,10,47.0,45.3,0.4883,0.67,0.8802,0.75,1.9067,0.8289,0.8889,1.0,3.2,181.6392,0.53163,0.3128,0.38445,5,1.1415,0.0,0.2408,63.8657,50.1188,0.5733,71.4636,-0.2904,0.6239,69.8724,0.4329,55.1563,Stabil,Orta
4,DevOps,Mid,4.1,4,2025,6,5,12.0,31.9,0.5019,0.7153,0.7837,0.683,0.4277,0.7616,0.8235,0.8,5.6,230.0006,0.40275,0.2252,0.53207,3,0.8267,0.0,0.1215,63.4928,50.4638,0.7095,78.3319,1.3872,0.7495,67.1602,0.2536,63.533,Stabil,Dusuk
4,DevOps,Mid,4.1,5,2025,11,9,44.2,34.8,0.7443,0.7104,0.8216,0.7368,2.0751,0.6336,0.7059,0.4,2.6667,170.0894,0.6147900000000001,0.3573,0.36212,5,0.8918,0.0,0.3218,55.1088,56.2851,0.6065,77.1022,0.8812,0.5792,66.4061,0.1808,56.8278,Stabil,Dusuk
4,DevOps,Mid,4.1,6,2025,7,5,10.1,39.5,0.5235,0.6952,0.771,0.7018,0.4622,0.8335,0.96,0.4,4.8,166.9093,0.4581,0.2692,0.5153500000000001,4,1.0323,0.0,0.2534,46.317,56.6841,0.543,77.8679,1.7983,0.7352,65.8257,0.2369,65.3981,Stabil,Dusuk
4,DevOps,Mid,4.1,7,2025,13,9,19.7,37.2,0.3458,0.686,0.6609,0.604,0.911,0.6975,0.7059,1.0,2.6667,212.1514,0.414,0.2604,0.41767,5,0.9398,0.0,0.3405,69.3298,56.4411,0.5869,64.2337,-4.1529,0.672,63.5808,0.373,53.1847,Riskli,Orta
4,DevOps,Mid,4.1,8,2025,9,6,16.2,41.0,0.7724,0.7112,0.6744,0.6017,0.6255,0.6213,0.8,0.4,2.0,179.0109,0.61542,0.3335,0.38434,5,1.0053,0.0,0.2085,51.8474,48.9429,0.6323,70.5691,-3.3233,0.6272,59.81,0.4183,50.214,Riskli,Orta
4,DevOps,Mid,4.1,9,2025,8,6,17.5,40.2,0.4471,0.6607,0.7731,0.6783,0.8264,0.7543,0.6786,1.0,3.1667,118.8812,0.37548,0.2313,0.539,3,1.0051,0.0,0.1648,62.1236,47.9898,0.5997,71.8154,-1.1822,0.7487,68.3599,0.248,58.7423,Stabil,Dusuk
4,DevOps,Mid,4.1,10,2025,8,6,12.6,43.4,0.4764,0.6986,0.7035,0.5881,0.5248,0.7185,0.8571,0.2,4.0,133.8915,0.4383,0.2801,0.51304,4,1.0865,0.0,0.2605,43.4295,55.6982,0.4699,65.9149,0.629,0.6849,60.4001,0.3331,61.0132,Riskli,Orta
4,DevOps,Mid,4.1,11,2025,5,4,18.3,40.6,0.5852,0.7062,0.7286,0.6235,0.8492,0.8809,0.875,1.0,3.5,149.7431,0.54531,0.3291,0.3916,6,0.9592,0.0,0.2475,61.017,52.2835,0.5252,70.3153,-0.6662,0.5163,64.1636,0.3756,50.3794,Riskli,Orta
4,DevOps,Mid,4.1,12,2025,5,4,21.1,47.4,0.8419,0.7176,0.7083,0.5265,1.004,0.6473,0.6522,0.8,3.75,53.6392,0.56709,0.3527,0.37378,5,1.2372,1.0,0.2899,58.4338,50.2354,0.7168,62.8641,-2.2453,0.6703,58.9712,0.5592,54.2246,Riskli,Orta
4,DevOps,Mid,4.1,13,2025,6,4,15.2,46.0,0.5285,0.6972,0.7305,0.7619,0.7156,0.9189,0.8,1.0,5.0,158.3161,0.5246999999999999,0.3273,0.50809,3,1.1004,1.0,0.195,69.5291,52.8533,0.7112,72.4691,1.2211,0.6108,67.6493,0.4113,57.7497,Stabil,Orta
4,DevOps,Mid,4.1,14,2025,4,3,10.0,43.1,0.5468,0.6844,0.7902,0.7205,0.5282,0.7142,0.7,1.0,2.3333,114.3778,0.62325,0.364,0.5368,3,1.0528,1.0,0.2419,60.8311,48.7317,0.6453,78.5465,3.4299,0.7419,64.7169,0.2624,65.8646,Riskli,Dusuk
4,DevOps,Mid,4.1,15,2025,10,8,37.9,41.3,0.5092,0.6779,0.7767,0.681,1.4814,0.6055,0.7857,0.2,2.75,114.7645,0.44802,0.2922,0.5845400000000001,4,1.087,1.0,0.2592,41.465,52.5893,0.5909,78.0618,5.1671,0.7502,66.6876,0.2477,70.1077,Stabil,Dusuk
4,DevOps,Mid,4.1,16,2025,10,7,21.2,42.9,0.5978,0.7372,0.7341,0.685,1.02,0.7286,0.85,0.4,4.8571,218.796,0.5140800000000001,0.3775,0.4616700000000001,3,1.0897,1.0,0.2611,50.8598,57.483,0.7376,76.0549,1.0273,0.6451,65.064,0.2564,60.3775,Stabil,Dusuk
4,DevOps,Mid,4.1,17,2025,10,8,29.4,38.7,0.5434,0.6769,0.7863,0.7458,1.1811,0.7336,0.6739,0.6,3.875,137.9749,0.41328,0.3346,0.41195,4,0.986,1.0,0.1513,52.4963,52.8018,0.6138,70.4097,-2.6417,0.7185,67.9665,0.4404,56.5469,Stabil,Orta
4,DevOps,Mid,4.1,18,2025,10,8,28.1,39.8,0.4243,0.7428,0.7989,0.7342,1.1423,0.9167,0.9143,1.0,4.0,147.5351,0.43101,0.3488,0.48906,3,1.0229,0.0,0.216,67.8405,48.7022,0.5915,75.6,-1.3031,0.601,70.7558,0.265,52.1217,Stabil,Dusuk
4,DevOps,Mid,4.1,19,2025,5,4,9.1,38.9,0.285,0.6942,0.8375,0.7828,0.4021,0.8197,0.8235,0.8,3.5,147.3478,0.37539,0.2407,0.60962,3,0.9769,0.0,0.2368,56.4605,52.2732,0.5188,75.6115,0.386,0.7439,68.8098,0.252,62.2596,Stabil,Dusuk
4,DevOps,Mid,4.1,20,2025,7,5,13.3,43.2,0.5102,0.687,0.6693,0.596,0.6557,0.7947,0.7037,0.8,3.8,148.8133,0.51534,0.408,0.49423,4,1.0594,0.0,0.2418,61.9647,52.7553,0.4875,67.6279,-0.8334,0.6962,62.044,0.3892,58.3549,Riskli,Orta
4,DevOps,Mid,4.1,21,2025,12,11,39.3,39.5,0.3549,0.6373,0.9261,0.8595,1.4449,0.7506,0.8511,0.4,3.6364,156.853,0.4057199999999999,0.3246,0.56342,2,0.997,0.0,0.2484,45.78,56.9876,0.5599,70.8453,-2.2248,0.8393,72.9937,0.425,63.8869,Stabil,Orta
4,DevOps,Mid,4.1,22,2025,6,4,16.6,37.2,0.6218,0.6838,0.7423,0.6642,0.8016,0.7764,0.7826,0.8,4.5,211.9081,0.45801,0.2885,0.44704,4,0.9664,0.0,0.3517,56.9231,54.7138,0.5168,60.9898,-4.0648,0.5368,63.0188,0.4196,46.7208,Riskli,Orta
4,DevOps,Mid,4.1,23,2025,4,3,7.5,39.4,0.2832,0.687,0.7695,0.6446,0.4049,0.6776,0.8889,0.4,2.6667,185.1614,0.35946,0.1764,0.36366,6,0.9374,0.0,0.2021,49.821,51.535,0.5606,75.438,1.3575,0.6798,63.6468,0.3154,60.6735,Riskli,Orta
4,DevOps,Mid,4.1,24,2025,7,5,17.8,43.3,0.7359,0.665,0.7631,0.6576,0.6673,0.7012,0.7917,0.8,3.8,244.4496,0.5904,0.3034,0.34265,5,1.0439,0.0,0.3071,60.0147,55.8608,0.6788,61.2987,-1.4192,0.6876,62.3309,0.3214,57.9841,Riskli,Orta
