employee_id,year,week,team,role,experience_years,assigned_tasks,completed_tasks,story_points_completed,actual_work_hours,task_completion_rate,on_time_delivery_rate,commit_score,project_complexity,bug_density,critical_bug_ratio,code_review_acceptance,avg_pr_revision,workload_index,team_collaboration_score,feedback_score,org_centrality_score,motivation_score,Performance_Drop_Target,Burnout_Target,Resignation_Target,High_Risk_Target
SE-025,2024,16,Backend,Lead,9,10,10,14,39,0.9654,0.8963,1.3363,0.9298,0.1473,0.0274,0.9216,1.6596,0.9215,0.1175,0.8858,0.8293,0.928,0,1,0,0
SE-025,2024,17,Backend,Lead,9,6,5,30,42,0.9048,0.9603,1.3556,0.9357,0.1179,0.0734,0.963,1.5229,1.0386,0.1876,0.8604,0.7907,0.9373,0,0,0,0
SE-025,2024,18,Backend,Lead,9,12,12,20,37,1.0,0.971,1.272,0.8781,0.2039,0.0533,0.8944,1.3787,0.8219,0.1252,0.8493,0.8042,0.9421,1,0,0,1
SE-025,2024,19,Backend,Lead,9,11,10,16,42,0.9419,0.9345,1.3931,0.8616,0.0935,0.0769,0.9522,1.5204,0.9195,0.131,0.8979,0.804,0.9312,0,0,0,0
SE-025,2024,20,Backend,Lead,9,7,6,25,44,0.9009,0.9713,1.3428,0.8487,0.1075,0.0759,0.9363,1.3725,0.9044,0.0949,0.947,0.8782,0.8529,0,0,0,0
SE-025,2024,21,Backend,Lead,9,6,6,15,39,0.941,0.9073,1.3973,0.9274,0.2128,0.048,0.9395,1.5906,0.9475,0.1244,0.8533,0.832,0.9139,0,0,0,0
SE-025,2024,22,Backend,Lead,9,8,8,24,32,0.9405,0.934,1.3459,0.8855,0.089,0.0688,0.9374,1.5526,1.0319,0.162,0.8178,0.7518,0.9037,0,0,0,0
SE-025,2024,23,Backend,Lead,9,8,8,18,40,0.9455,0.923,1.3373,0.8528,0.1536,0.1084,0.9509,1.7508,0.7939,0.1342,0.9269,0.8156,0.9536,0,0,0,0
SE-025,2024,24,Backend,Lead,9,7,6,29,43,0.9128,0.8533,1.3873,0.9258,0.1295,0.0714,0.9351,1.6331,0.9904,0.1545,0.9137,0.8937,0.9959,0,0,0,1
SE-025,2024,25,Backend,Lead,9,12,11,28,40,0.9524,0.9294,1.294,0.8656,0.1398,0.0692,0.9158,1.6927,0.9466,0.1344,0.9353,0.827,0.9291,0,0,0,0
SE-025,2024,26,Backend,Lead,9,13,12,10,40,0.9548,0.9452,1.3121,0.908,0.1356,0.0725,0.9051,1.5501,0.8807,0.1725,0.8634,0.795,0.871,0,0,1,0
SE-025,2024,27,Backend,Lead,9,10,9,21,40,0.943,0.8917,1.3252,0.9176,0.0504,0.1196,0.9249,1.6916,0.9042,0.1018,0.905,0.8247,0.9545,0,0,0,0
SE-025,2024,28,Backend,Lead,9,13,12,38,41,0.9552,1.0,1.2575,0.8799,0.1535,0.0958,0.8923,1.8064,0.895,0.1554,0.8694,0.816,0.9087,0,0,0,0
SE-025,2024,29,Backend,Lead,9,14,13,14,39,0.9307,0.9108,1.397,0.917,0.0551,0.0961,0.938,1.6304,0.832,0.1101,0.9696,0.7744,0.9152,0,0,0,0
SE-025,2024,30,Backend,Lead,9,14,13,37,34,0.959,0.8904,1.3981,0.9486,0.1966,0.0586,0.9047,1.7478,0.8092,0.1204,0.9572,0.7824,0.9365,0,0,0,0
SE-025,2024,31,Backend,Lead,9,10,10,39,32,1.0,0.8418,1.3152,0.9233,0.068,0.1231,0.948,1.7055,0.9045,0.1474,0.9232,0.7565,0.938,0,1,0,0
SE-025,2024,32,Backend,Lead,9,14,14,35,38,0.9908,0.9338,1.3696,0.9265,0.2032,0.0955,0.9912,1.6001,0.9431,0.1593,0.7982,0.845,0.9267,0,0,0,0
SE-025,2024,33,Backend,Lead,9,13,13,26,35,1.0,0.8982,1.3457,0.9866,0.0526,0.0772,0.8724,1.6571,0.9074,0.1039,0.9515,0.8383,0.8751,0,0,0,0
SE-025,2024,34,Backend,Lead,9,6,6,34,33,0.9929,0.8638,1.2417,0.8825,0.1424,0.0479,0.9297,1.49,0.7642,0.0887,0.8592,0.8497,0.9238,0,0,0,0
SE-025,2024,35,Backend,Lead,9,13,12,40,39,0.9303,0.8774,1.4077,0.9193,0.1601,0.097,0.9516,1.609,0.9659,0.1404,0.9048,0.8168,0.941,0,0,0,0
SE-025,2024,36,Backend,Lead,9,11,10,20,42,0.938,0.927,1.421,0.9363,0.0868,0.1028,1.0,1.7062,0.8964,0.1764,0.8739,0.823,0.894,1,0,0,0
SE-025,2024,37,Backend,Lead,9,8,7,20,37,0.9299,0.9358,1.4221,0.9282,0.0945,0.0294,0.9654,1.5301,0.8395,0.0889,0.8891,0.8183,0.9494,0,0,0,0
SE-025,2024,38,Backend,Lead,9,11,11,26,33,0.9644,0.9007,1.2871,0.8954,0.1572,0.0373,0.9712,1.6102,0.8266,0.0817,0.8207,0.7993,0.8926,1,0,0,0
SE-025,2024,39,Backend,Lead,9,9,9,32,41,0.9727,0.933,1.3132,0.9148,0.1333,0.0599,0.9983,1.7903,0.8659,0.1327,0.958,0.8388,0.9786,0,1,0,0
SE-025,2024,40,Backend,Lead,9,8,8,20,39,0.9609,0.8976,1.31,0.8953,0.0279,0.0752,1.0,1.5162,0.9091,0.1509,0.9277,0.7821,0.8996,0,0,0,0
SE-025,2024,41,Backend,Lead,9,13,12,37,43,0.9117,0.8646,1.3047,0.9242,0.091,0.0124,0.9009,1.4705,1.0542,0.1157,0.9301,0.8519,1.0,1,0,0,0
SE-025,2024,42,Backend,Lead,9,12,12,16,38,1.0,0.9394,1.3649,0.946,0.2631,0.0697,0.9371,1.7474,0.9926,0.1774,0.9188,0.8541,0.9305,0,0,0,0
SE-025,2024,43,Backend,Lead,9,6,6,19,33,0.9561,0.9854,1.3142,0.9295,0.1223,0.0989,1.0,1.6259,0.8838,0.1499,0.8873,0.7587,0.8472,1,0,0,0
SE-025,2024,44,Backend,Lead,9,6,6,14,37,1.0,0.9283,1.2263,0.9694,0.1332,0.1093,0.9068,1.7069,0.8529,0.2006,0.8966,0.7118,0.9836,0,0,0,0
SE-025,2024,45,Backend,Lead,9,13,12,18,38,0.9314,0.8923,1.4904,0.9948,0.1597,0.058,0.98,1.4196,0.8278,0.0632,0.871,0.8524,0.8975,0,1,0,0
SE-025,2024,46,Backend,Lead,9,9,9,32,43,0.9481,0.9292,1.2994,0.9091,0.2058,0.0,0.9741,1.5016,1.1632,0.0906,0.8942,0.7835,0.9268,0,0,0,0
SE-025,2024,47,Backend,Lead,9,14,13,16,38,0.9455,1.0,1.3861,0.9309,0.1103,0.0472,0.9592,1.4924,0.9234,0.1407,0.8842,0.7659,0.8791,0,1,0,0
SE-025,2024,48,Backend,Lead,9,14,13,17,29,0.9299,0.9314,1.3545,0.931,0.1258,0.0636,0.9576,1.7735,0.8421,0.0761,0.8872,0.81,0.9642,0,1,0,0
SE-025,2024,49,Backend,Lead,9,11,11,12,37,0.9732,0.9371,1.2673,0.8984,0.1092,0.0946,0.9815,1.5088,0.7817,0.1112,0.898,0.8759,0.899,0,0,0,0
SE-025,2024,50,Backend,Lead,9,8,8,33,37,0.9414,0.8897,1.3009,0.8543,0.1849,0.0485,0.9672,1.458,0.916,0.1347,0.8937,0.7852,0.925,0,1,0,0
SE-025,2024,51,Backend,Lead,9,12,11,26,36,0.899,0.9854,1.408,0.889,0.134,0.0558,0.9767,1.4338,0.9372,0.1298,0.8872,0.7925,0.9116,0,0,0,1
SE-025,2024,52,Backend,Lead,9,6,5,32,48,0.9048,0.9297,1.4244,0.9241,0.1515,0.0748,0.9076,1.7856,1.0441,0.1274,0.9302,0.7569,0.8881,0,0,0,0
SE-045,2024,1,Backend,Lead,9,11,10,26,41,0.904,0.8942,1.2797,0.8923,0.1427,0.0633,0.8755,1.7543,0.9704,0.1362,0.9398,0.7116,0.863,0,0,0,0
SE-045,2024,2,Backend,Lead,9,9,8,18,35,0.943,0.9241,1.2787,0.9042,0.1769,0.0833,0.9351,1.6314,0.9796,0.185,0.907,0.8184,0.8587,0,0,1,0
SE-045,2024,3,Backend,Lead,9,11,10,24,37,0.9331,0.8934,1.32,0.7883,0.144,0.056,0.9477,1.5231,0.9859,0.1578,0.8734,0.7656,0.8408,0,0,0,0
SE-045,2024,4,Backend,Lead,9,7,7,33,41,0.9543,0.8723,1.276,0.8508,0.005,0.0596,0.9706,1.7402,0.7936,0.139,0.9364,0.8703,0.9203,0,0,0,0
SE-045,2024,5,Backend,Lead,9,12,12,25,38,0.9942,0.9072,1.3317,0.8302,0.1835,0.0532,0.9591,1.703,0.8988,0.1557,0.8574,0.7866,0.863,0,0,0,0
SE-045,2024,6,Backend,Lead,9,8,8,38,34,1.0,1.0,1.2923,0.9116,0.1228,0.0467,0.9393,1.5915,0.7806,0.1037,0.9599,0.8111,0.8528,0,0,0,0
SE-045,2024,7,Backend,Lead,9,6,6,35,34,0.9462,0.8879,1.4113,0.8263,0.2203,0.098,0.9026,1.6295,0.7896,0.0895,0.8495,0.803,0.8917,0,0,0,0
SE-045,2024,8,Backend,Lead,9,6,5,34,35,0.8624,0.9495,1.3411,0.9042,0.1321,0.114,0.8665,1.6449,0.8066,0.1262,0.887,0.8441,0.8994,0,0,0,0
SE-045,2024,9,Backend,Lead,9,11,11,36,37,0.9645,0.9404,1.2449,0.8713,0.1643,0.147,0.9655,1.7749,0.8852,0.1626,0.8989,0.801,0.9092,0,0,1,0
SE-045,2024,10,Backend,Lead,9,12,11,22,34,0.9423,0.9517,1.2912,0.8984,0.2403,0.0569,0.9113,1.5632,0.8738,0.1025,0.8646,0.8199,0.9038,0,0,0,0
SE-045,2024,11,Backend,Lead,9,9,9,23,31,1.0,0.8683,1.3683,0.8716,0.195,0.1244,0.9567,1.4604,0.9111,0.1023,0.9547,0.7584,0.8121,0,0,0,0
SE-045,2024,12,Backend,Lead,9,7,6,26,40,0.9201,1.0,1.31,0.8467,0.1101,0.1037,0.8685,1.7292,0.7656,0.1639,0.9151,0.7727,0.8855,0,1,0,0
SE-045,2024,13,Backend,Lead,9,6,6,11,31,1.0,0.9373,1.3031,0.9945,0.219,0.1493,0.9257,1.84,0.7691,0.0992,0.9358,0.8101,0.8567,0,0,0,0
SE-045,2024,14,Backend,Lead,9,11,10,34,40,0.9462,0.9019,1.2272,0.8877,0.2409,0.0739,0.9741,1.6755,0.78,0.1395,0.9175,0.7781,0.9476,0,0,0,0
SE-045,2024,15,Backend,Lead,9,8,8,24,37,1.0,0.9818,1.2565,0.8904,0.148,0.1077,0.8992,1.6295,0.9233,0.1129,0.9038,0.7859,0.9042,0,0,0,0
SE-045,2024,16,Backend,Lead,9,8,8,20,41,0.9612,0.8401,1.3321,0.8235,0.0974,0.0919,0.9724,1.5161,0.8,0.1439,0.8557,0.7555,0.8153,0,0,0,0
SE-045,2024,17,Backend,Lead,9,12,12,35,42,0.9771,0.9985,1.3373,0.9207,0.1201,0.1169,0.9327,1.7623,0.898,0.1045,0.8777,0.8248,0.8765,0,0,0,0
SE-045,2024,18,Backend,Lead,9,7,6,13,37,0.8793,0.9535,1.3928,0.8677,0.1949,0.0847,0.8936,1.1928,0.9601,0.1793,0.9248,0.8232,0.88,0,0,0,1
SE-045,2024,19,Backend,Lead,9,6,6,30,36,0.9951,0.8867,1.2744,0.967,0.1572,0.0499,0.8788,1.5993,0.9171,0.1702,0.882,0.7522,0.9126,0,0,0,0
SE-045,2024,20,Backend,Lead,9,9,9,24,34,0.9807,0.8853,1.2317,0.8055,0.0838,0.0761,0.8808,1.4556,0.7845,0.1052,0.875,0.8278,0.9017,0,0,0,0
SE-045,2024,21,Backend,Lead,9,7,7,38,38,1.0,0.9208,1.3209,0.9346,0.0619,0.1291,0.978,1.7968,0.8209,0.1162,0.8696,0.7066,0.938,0,1,0,0
SE-045,2024,22,Backend,Lead,9,10,10,19,33,0.9547,0.9153,1.2198,0.9185,0.0457,0.1042,0.9839,1.841,0.8097,0.1216,0.833,0.8005,0.8882,0,1,0,0
SE-045,2024,23,Backend,Lead,9,9,8,17,30,0.9248,0.8921,1.2746,0.8631,0.1968,0.0393,0.9361,1.5441,0.8793,0.1476,0.879,0.8026,0.9065,0,0,0,0
SE-045,2024,24,Backend,Lead,9,7,7,24,35,0.9917,0.8585,1.3966,0.9172,0.1581,0.1102,1.0,1.5607,0.7512,0.0847,0.863,0.7334,0.8745,0,1,1,0
SE-045,2024,25,Backend,Lead,9,11,10,21,38,0.9479,0.8868,1.292,0.9191,0.1724,0.104,0.9868,1.5811,0.9759,0.101,0.9442,0.7983,0.9162,0,0,0,0
SE-045,2024,26,Backend,Lead,9,14,13,25,37,0.9577,1.0,1.3922,0.8983,0.0846,0.0662,0.9232,1.8737,0.8449,0.1324,0.9035,0.873,0.8457,0,0,0,0
SE-045,2024,27,Backend,Lead,9,6,6,39,40,0.9349,0.8701,1.255,0.9053,0.1239,0.0849,0.8731,1.8162,0.8908,0.1303,0.8469,0.8583,0.9566,0,0,0,0
SE-045,2024,28,Backend,Lead,9,6,6,22,41,0.9518,0.9449,1.3901,0.8174,0.1191,0.0954,0.9531,1.845,0.9022,0.1454,0.8126,0.8749,0.8507,0,0,0,0
SE-045,2024,29,Backend,Lead,9,14,13,30,39,0.9317,0.9405,1.2756,0.8193,0.1475,0.0,0.9078,1.8098,0.8279,0.1083,0.8931,0.7583,0.8595,0,0,1,0
SE-045,2024,30,Backend,Lead,9,6,5,20,36,0.9001,0.9343,1.4094,0.8144,0.1466,0.1445,0.8956,1.7798,0.9932,0.1615,0.8633,0.7679,0.8328,0,0,0,0
SE-045,2024,31,Backend,Lead,9,14,13,37,37,0.9318,0.8606,1.2599,0.8388,0.1379,0.1034,0.9092,1.5525,0.7636,0.1127,0.9706,0.8178,0.8002,0,0,1,1
SE-045,2024,32,Backend,Lead,9,12,11,13,39,0.948,0.9186,1.2977,0.8411,0.0466,0.0719,0.901,1.3144,0.9184,0.1682,0.8984,0.7564,0.8792,0,0,0,0
SE-045,2024,33,Backend,Lead,9,10,10,13,44,0.9543,0.9065,1.3207,0.8877,0.2189,0.0655,0.8861,1.5067,0.9921,0.1427,0.8862,0.7938,0.9271,0,1,1,1
SE-045,2024,34,Backend,Lead,9,8,7,29,42,0.8864,0.8741,1.3329,0.8802,0.1178,0.0739,0.949,1.426,0.879,0.1753,0.8948,0.8208,0.9842,0,1,0,0
SE-045,2024,35,Backend,Lead,9,7,6,17,39,0.9084,0.8679,1.2752,0.87,0.1461,0.0842,0.9251,1.5259,0.8701,0.1634,0.9674,0.7838,0.863,0,0,0,0
SE-045,2024,36,Backend,Lead,9,14,14,11,37,0.9815,0.9338,1.1267,0.9258,0.1423,0.1275,0.9505,1.7228,0.9462,0.1647,0.8386,0.7868,0.8666,0,0,0,0
SE-045,2024,37,Backend,Lead,9,6,6,29,39,0.964,0.9131,1.3312,0.7888,0.139,0.0869,0.9596,1.6523,0.925,0.1556,0.8736,0.7826,0.9283,0,0,0,0
SE-045,2024,38,Backend,Lead,9,8,8,38,39,0.999,0.9506,1.2766,0.7798,0.1728,0.1517,0.9641,1.2492,0.8066,0.1239,0.9135,0.7983,0.8951,0,0,0,0
SE-045,2024,39,Backend,Lead,9,9,8,20,41,0.8671,0.8928,1.2855,0.8718,0.1206,0.0847,0.9122,1.6739,1.0744,0.2009,0.9179,0.8152,0.8963,1,0,0,0
SE-045,2024,40,Backend,Lead,9,14,13,36,33,0.9378,0.9757,1.2661,0.8886,0.2107,0.097,0.9485,1.5429,0.6684,0.0883,0.9206,0.8513,0.914,0,0,0,0
SE-045,2024,41,Backend,Lead,9,8,7,14,40,0.9327,0.8924,1.3938,0.8338,0.0685,0.0266,0.9414,1.4816,1.0021,0.1292,0.8502,0.8264,0.9358,0,0,0,0
SE-045,2024,42,Backend,Lead,9,11,10,10,37,0.9088,0.9049,1.2473,0.9474,0.2176,0.0857,0.9319,1.6594,0.9291,0.0724,0.8775,0.7908,0.9154,0,0,0,0
SE-045,2024,43,Backend,Lead,9,14,13,26,40,0.9615,0.9272,1.2567,0.8589,0.0769,0.0638,0.8816,1.5873,1.0147,0.1316,0.9025,0.8385,0.843,0,0,0,0
SE-045,2024,44,Backend,Lead,9,7,7,35,30,0.9706,0.8306,1.288,0.9191,0.2255,0.1069,0.9977,1.6297,0.7753,0.1089,0.771,0.7552,0.8821,0,0,0,0
SE-045,2024,45,Backend,Lead,9,11,10,22,38,0.9192,0.9924,1.2321,0.8437,0.0771,0.0554,0.9313,1.6507,0.974,0.1174,0.9214,0.8369,0.9943,0,0,0,0
SE-045,2024,46,Backend,Lead,9,6,6,23,36,0.9691,0.9445,1.1589,0.8515,0.203,0.1163,0.9634,1.4392,0.7673,0.1356,0.8829,0.7858,0.899,0,0,0,0
SE-045,2024,47,Backend,Lead,9,6,5,34,36,0.8815,0.8651,1.1913,0.9178,0.1607,0.0685,0.9691,1.3865,0.9587,0.1709,0.9262,0.8262,0.9693,0,0,0,1
SE-045,2024,48,Backend,Lead,9,9,8,33,32,0.9258,0.8872,1.3455,0.9169,0.195,0.0817,0.9167,1.581,0.8465,0.1223,1.0,0.7886,0.8399,0,0,0,0
SE-045,2024,49,Backend,Lead,9,6,6,34,42,0.9809,0.8879,1.1975,0.8956,0.1929,0.0925,0.943,1.5571,0.9119,0.0998,0.8808,0.7713,0.9177,0,0,0,0
SE-045,2024,50,Backend,Lead,9,12,11,21,40,0.9359,0.9376,1.3048,0.9034,0.1251,0.0679,0.9595,1.3258,0.934,0.1638,0.8219,0.8896,0.9345,0,0,0,0
SE-045,2024,51,Backend,Lead,9,8,7,25,40,0.8882,0.8603,1.3717,0.9302,0.1702,0.0817,1.0,1.88,0.9983,0.1389,0.8689,0.6943,0.9057,0,1,0,0
SE-045,2024,52,Backend,Lead,9,7,6,35,42,0.914,0.9179,1.2871,0.8958,0.3023,0.1002,0.9227,1.5181,0.9544,0.1401,0.8535,0.7996,0.8734,0,1,0,0
SE-042,2024,1,Frontend,Lead,8,12,12,27,38,0.9769,0.8856,1.3414,0.8975,0.2264,0.092,0.9447,1.6615,0.9789,0.1383,0.8687,0.733,0.847,0,0,0,0
SE-042,2024,2,Frontend,Lead,8,6,6,21,38,0.9969,0.8926,1.344,0.8841,0.1878,0.086,0.9136,2.0339,0.9059,0.1124,0.8267,0.7904,0.8781,0,0,0,0
SE-042,2024,3,Frontend,Lead,8,11,9,23,34,0.8608,0.9061,1.3668,0.9054,0.2009,0.1307,0.8824,1.5347,0.9673,0.1526,0.8508,0.7682,0.9142,0,0,0,0
SE-042,2024,4,Frontend,Lead,8,6,6,26,38,0.919,0.8783,1.2751,0.8905,0.1832,0.1286,0.9105,1.7547,0.9516,0.1221,0.9049,0.8138,0.9049,0,0,0,0
SE-042,2024,5,Frontend,Lead,8,11,10,16,38,0.9476,0.9313,1.2691,0.8448,0.1544,0.0894,0.937,1.4741,0.7558,0.1051,0.7461,0.7604,0.8621,0,0,0,0
SE-042,2024,6,Frontend,Lead,8,10,9,11,40,0.8816,0.9316,1.2699,0.889,0.178,0.0999,0.9228,1.8916,1.0007,0.163,0.8743,0.7306,0.8817,0,0,0,0
SE-042,2024,7,Frontend,Lead,8,14,14,29,34,0.9875,0.92,1.3143,0.9618,0.1333,0.0939,0.8509,1.8974,0.9841,0.1375,0.8264,0.8682,0.9396,0,0,0,0
SE-042,2024,8,Frontend,Lead,8,6,5,35,34,0.8866,0.8915,1.3805,0.9135,0.1869,0.089,0.8944,1.8014,0.8783,0.0739,0.8498,0.8436,0.8745,0,0,0,0
SE-042,2024,9,Frontend,Lead,8,8,8,36,40,0.9734,0.992,1.3714,0.8002,0.2067,0.1321,0.9647,1.6152,0.9772,0.124,0.8294,0.7124,0.8787,0,0,0,0
SE-042,2024,10,Frontend,Lead,8,8,8,34,39,0.9568,0.9213,1.3116,0.8691,0.1337,0.0703,0.8683,1.7911,0.868,0.0811,0.866,0.794,0.8696,0,1,0,0
SE-042,2024,11,Frontend,Lead,8,10,9,29,32,0.9154,0.9058,1.2808,0.864,0.0613,0.0699,0.9222,1.584,0.9712,0.1545,0.969,0.8321,0.9774,0,0,0,0
SE-042,2024,12,Frontend,Lead,8,6,6,26,32,0.9538,1.0,1.2707,0.8499,0.1713,0.0901,0.941,1.6334,0.7918,0.1498,0.8485,0.8012,0.8606,0,0,0,0
SE-042,2024,13,Frontend,Lead,8,9,8,30,39,0.9184,0.9352,1.365,0.8889,0.2168,0.0549,0.9305,1.9008,0.8911,0.0951,0.9207,0.8333,0.9197,0,0,0,0
SE-042,2024,14,Frontend,Lead,8,14,14,20,35,0.967,0.9033,1.2685,0.8203,0.0646,0.0487,0.9152,1.4512,0.9382,0.1179,0.9328,0.8702,0.8684,0,0,0,0
SE-042,2024,15,Frontend,Lead,8,13,12,15,44,0.9196,0.9498,1.2358,0.8733,0.0739,0.0959,0.9599,1.7554,0.8846,0.1421,0.8633,0.8244,0.8888,0,0,0,0
SE-042,2024,16,Frontend,Lead,8,10,9,33,41,0.9246,0.9458,1.3293,0.9039,0.1529,0.1189,0.9246,1.5936,0.8637,0.1528,0.8969,0.7291,0.9352,0,1,0,0
SE-042,2024,17,Frontend,Lead,8,10,9,35,43,0.8958,0.887,1.2265,0.9386,0.2246,0.1142,0.9103,1.5754,0.9321,0.1458,0.8267,0.851,0.9282,0,0,0,0
SE-042,2024,18,Frontend,Lead,8,9,9,24,43,0.9723,0.9219,1.2834,0.9022,0.2277,0.0946,0.9228,1.7634,0.9959,0.1828,0.843,0.7849,0.9022,0,0,0,0
SE-042,2024,19,Frontend,Lead,8,13,12,27,31,0.9063,0.952,1.2317,0.9131,0.2185,0.1075,0.9104,1.6191,0.7825,0.05,0.8971,0.7033,0.9132,0,1,0,0
SE-042,2024,20,Frontend,Lead,8,14,14,14,34,0.9986,0.9029,1.1924,0.854,0.164,0.1196,0.9376,1.8492,0.834,0.084,0.9067,0.7731,0.9336,1,1,0,0
SE-042,2024,21,Frontend,Lead,8,9,9,16,36,0.9766,0.8864,1.1395,0.9139,0.1169,0.0905,0.9021,1.813,0.8245,0.0748,0.9275,0.8189,0.9184,0,0,0,0
SE-042,2024,22,Frontend,Lead,8,14,13,16,35,0.9285,0.9062,1.3661,0.8686,0.151,0.0872,0.9308,1.7314,0.9083,0.1565,0.8329,0.8032,0.9186,0,0,0,0
SE-042,2024,23,Frontend,Lead,8,10,9,14,42,0.9249,0.9032,1.3004,0.8727,0.2105,0.075,0.9294,1.3557,0.9818,0.0994,0.8234,0.7916,0.9163,0,0,0,0
SE-042,2024,24,Frontend,Lead,8,8,7,29,41,0.9211,0.9763,1.3044,0.9723,0.053,0.1306,0.9198,1.7505,0.9,0.0979,0.824,0.7836,0.96,0,0,0,0
SE-042,2024,25,Frontend,Lead,8,10,9,19,35,0.94,0.9311,1.3138,0.8955,0.1197,0.1114,0.9021,1.573,1.0001,0.2004,0.8839,0.7436,0.9263,0,0,0,0
SE-042,2024,26,Frontend,Lead,8,10,10,25,36,0.9819,0.9813,1.2869,0.8464,0.1601,0.1349,0.9249,1.5418,1.0086,0.1386,0.8716,0.7753,0.9011,0,1,0,0
SE-042,2024,27,Frontend,Lead,8,12,12,32,34,0.9831,0.8656,1.2379,0.9135,0.1114,0.1491,0.9211,1.4701,0.8515,0.1265,0.8412,0.7739,0.8941,0,0,0,0
SE-042,2024,28,Frontend,Lead,8,14,12,31,42,0.8879,0.9324,1.3565,0.9282,0.1901,0.1018,0.9715,1.6923,1.0151,0.1899,0.847,0.8143,0.8423,0,0,0,0
SE-042,2024,29,Frontend,Lead,8,12,12,13,41,1.0,0.8562,1.3233,0.8661,0.2102,0.0722,0.8202,1.4279,0.8565,0.1235,0.8546,0.7648,0.8413,0,0,0,0
SE-042,2024,30,Frontend,Lead,8,6,6,26,39,0.9653,0.9322,1.2414,0.8446,0.2046,0.039,0.8894,1.6503,0.8481,0.1573,0.8729,0.746,0.9802,0,0,0,1
SE-042,2024,31,Frontend,Lead,8,13,13,25,41,0.9944,0.8847,1.3935,0.8614,0.1684,0.0866,0.9146,1.4358,0.8164,0.1168,0.828,0.7581,0.8753,0,0,0,0
SE-042,2024,32,Frontend,Lead,8,6,6,10,37,0.9177,0.916,1.3131,0.8373,0.2046,0.0926,0.9236,1.667,0.8519,0.1902,0.8153,0.7199,0.8546,0,0,0,0
